"P606t","A049","A071","p344p","incanon","p493p","a070p","a114p","A094","Gorx"
14.725,4,2,1152.8,1152.8,0,45,6,6,1
4.62,2,2,932.23,938.385961538462,0,37,6,1,2
0,2,1,752.07,752.07,0,61,5,8,4
0.96,3,1,708.042,708.042,0,63,5,12,2
0,4,1,1063.25333333333,1063.25333333333,0,45,5,7,6
0,1,2,576.62,582.186474358974,0,50,5,3,10
7.225,3,2,923.055,928.805512820513,0,35,6,4,7
0,2,1,1100.46083333333,1100.46083333333,0,60,8,1,9
0,2,2,288.52,340.255721153846,0,36,4,6,5
61.055,1,1,155.062,247.26858803382,0,66,5,12,3
2.745,1,2,327.792,359.168346153846,0,75,3,12,11
5.21,2,1,276.92,293.639853210306,0,78,6,12,5
0,1,1,1154.19,1162.03283653846,0,38,3,3,7
9.835,3,1,1060.98551282051,1060.98551282051,0,58,5,6,3
22.435,2,1,992.99,992.99,0,56,7,3,9
0,1,1,2134.09,2140.46352564103,1,30,4,1,6
0,2,1,359.859,359.859,0,80,4,12,3
0.615,3,2,897.41,897.41,0,32,6,3,6
0,1,1,734.255,740.921153846154,0,32,5,2,9
120.325,1,1,252.292,256.403266025641,0,74,4,12,11
7.95,1,2,1268.93,1275.66762820513,0,48,5,2,6
0,1,2,189.452,194.005421474359,0,63,5,12,11
155.5,2,2,1116.914,1116.914,0,73,8,12,7
6.335,2,1,764.84,764.84,0,59,5,8,2
1.095,1,1,716.83,722.388774038462,0,57,3,4,7
0.395,1,2,367.587,372.677256410256,0,80,3,12,2
0,3,2,664.52,671.919399038462,0,50,9,6,2
0,3,1,1146.76,1146.76,0,53,6,7,10
0,1,2,428.99,434.204903846154,0,37,5,3,9
0.395,1,2,588.6325,598.389831730769,0,61,9,6,11
0,4,2,913.76,913.76,0,43,8,5,9
2.31,2,1,763.1,763.1,0,52,8,4,4
0.5,2,2,309.714,309.714,0,74,5,12,9
12.4,3,1,1386.845,1386.845,0,48,5,3,7
0,1,1,284.342,381.790677223997,0,55,3,12,2
0,3,1,416.33,416.33,0,52,7,5,4
2.48,3,1,991.56,991.56,0,51,6,4,6
0,2,1,1002.5725,1002.5725,0,75,10,12,7
0,1,2,184.112,188.910798076923,0,80,3,12,1
0.365,2,1,1144.7925,1144.7925,0,80,6,12,7
2.545,4,1,431.2,431.2,0,38,5,6,5
0,2,1,330.5,346.133461884947,0,62,5,8,11
0,2,1,1133.72,1133.72,0,55,6,4,11
1.27,3,1,1053.45,1053.45,0,65,5,7,7
0,1,2,224.812,230.151799679487,0,72,4,12,5
0,1,2,217.962,228.504291666667,0,80,7,12,8
0.825,2,2,261.992,366.504353724316,0,54,4,12,6
4.92,4,1,1209.895,1209.895,0,52,5,1,2
3.355,3,1,1509.24,1509.24,0,57,9,3,3
6.46,1,1,979.6675,986.353012820513,0,31,5,10,2
33.045,2,2,419.575,419.575,0,69,4,8,4
0,2,1,335.65,422.955791013645,0,50,5,12,2
9.32,3,2,594.515,594.515,0,35,6,2,8
2.125,4,1,1201.05,1201.05,0,54,6,3,7
0,1,1,60.63,145.713919794784,0,61,3,4,3
0,1,2,490.31,495.100817307692,0,39,2,4,3
2.245,4,1,2128.3875,2128.3875,0,50,10,2,11
3.775,4,1,462.56,462.56,0,39,7,5,4
100,1,2,126.35,151.297822013635,0,77,6,12,7
0.275,1,2,311.9145,319.241711538462,0,64,8,12,9
3.495,3,3,569.75,569.75,0,28,4,6,1
10,1,2,245.562,252.286182692308,0,80,4,12,7
0.5,3,2,627.97,627.97,0,58,7,8,2
11.52,2,2,410.88,410.88,0,65,6,3,7
25.72,3,1,306.64,321.545198791998,0,29,4,5,2
11.885,2,1,696.015,696.015,0,71,9,12,11
